Question	Label
Does drug Pyridoxal phosphate interact with protein Glycogen phosphorylase, liver form?	1
Does drug Ertapenem interact with protein Peptidoglycan D,D-transpeptidase FtsI?	1
Does drug Pyridoxal phosphate interact with protein Histidine decarboxylase?	1
Does drug Glutamic acid interact with protein Glutaminase liver isoform, mitochondrial?	1
Does drug Propylene glycol interact with protein Coagulation factor XIII A chain?	1
Does drug N-Acetyl-Serine interact with protein Coagulation factor XIII A chain?	1
Does drug Arginine interact with protein Nitric oxide synthase, inducible?	1
Does drug Citrulline interact with protein Nitric oxide synthase, inducible?	1
Does drug Miconazole interact with protein Nitric oxide synthase, inducible?	1
Does drug Dexamethasone interact with protein Nitric oxide synthase, inducible?	1
Does drug N,N-dimethylarginine interact with protein Nitric oxide synthase, inducible?	1
Does drug 4R-Fluoro-N6-ethanimidoyl-L-lysine interact with protein Nitric oxide synthase, inducible?	1
Does drug 3-Bromo-7-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug N-[3-(aminomethyl)benzyl]acetamidine interact with protein Nitric oxide synthase, inducible?	1
Does drug 7-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug S-Ethylisothiourea interact with protein Nitric oxide synthase, inducible?	1
Does drug Thiocoumarin interact with protein Nitric oxide synthase, inducible?	1
Does drug N-omega-propyl-L-arginine interact with protein Nitric oxide synthase, inducible?	1
Does drug 6-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine interact with protein Nitric oxide synthase, inducible?	1
Does drug Imidazole interact with protein Nitric oxide synthase, inducible?	1
Does drug N-(4-{2-[(3-chlorobenzyl)amino]ethyl}phenyl)thiophene-2-carboximidamide interact with protein Nitric oxide synthase, inducible?	1
Does drug Thiocitrulline interact with protein Nitric oxide synthase, inducible?	1
Does drug L-erythro-7,8-dihydrobiopterin interact with protein Nitric oxide synthase, inducible?	1
Does drug 5-Nitroindazole interact with protein Nitric oxide synthase, inducible?	1
Does drug Fenoxaprop-ethyl interact with protein Nitric oxide synthase, inducible?	1
Does drug Pimagedine interact with protein Nitric oxide synthase, inducible?	1
Does drug 5-(4'-AMINO-1'-ETHYL-5',8'-DIFLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLINE]-1-YLCARBONYL)PICOLINONITRILE interact with protein Nitric oxide synthase, inducible?	1
Does drug N-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-1-[2-(1H-IMIDAZOL-1-YL)-6-METHYLPYRIMIDIN-4-YL]-D-PROLINAMIDE interact with protein Nitric oxide synthase, inducible?	1
Does drug 4-({4-[(4-methoxypyridin-2-yl)amino]piperidin-1-yl}carbonyl)benzonitrile interact with protein Nitric oxide synthase, inducible?	1
Does drug (2S)-2-methyl-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine interact with protein Nitric oxide synthase, inducible?	1
Does drug (3R)-3-[(1,2,3,4-tetrahydroisoquinolin-7-yloxy)methyl]-2,3-dihydrothieno[2,3-f][1,4]oxazepin-5-amine interact with protein Nitric oxide synthase, inducible?	1
Does drug 4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PYRIMIDINE interact with protein Nitric oxide synthase, inducible?	1
Does drug (3S)-1-(1,3-BENZODIOXOL-5-YLMETHYL)-3-[4-(1H-IMIDAZOL-1-YL)PHENOXY]PIPERIDINE interact with protein Nitric oxide synthase, inducible?	1
Does drug 4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]-6-METHYLPYRIMIDINE interact with protein Nitric oxide synthase, inducible?	1
Does drug ETHYL 4-[(4-CHLOROPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE interact with protein Nitric oxide synthase, inducible?	1
Does drug N-[2-(4-AMINO-5,8-DIFLUORO-1,2-DIHYDROQUINAZOLIN-2-YL)ETHYL]-3-FURAMIDE interact with protein Nitric oxide synthase, inducible?	1
Does drug ETHYL 4-[(4-METHYLPYRIDIN-2-YL)AMINO]PIPERIDINE-1-CARBOXYLATE interact with protein Nitric oxide synthase, inducible?	1
Does drug N-[2-(6-AMINO-4-METHYLPYRIDIN-2-YL)ETHYL]-4-CYANOBENZAMIDE interact with protein Nitric oxide synthase, inducible?	1
Does drug 1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE interact with protein Nitric oxide synthase, inducible?	1
Does drug 4-(1H-IMIDAZOL-1-YL)PHENOL interact with protein Nitric oxide synthase, inducible?	1
Does drug 1-[4-(AMINOMETHYL)BENZOYL]-5'-FLUORO-1'H-SPIRO[PIPERIDINE-4,2'-QUINAZOLIN]-4'-AMINE interact with protein Nitric oxide synthase, inducible?	1
Does drug Triflusal interact with protein Nitric oxide synthase, inducible?	1
Does drug Levamlodipine interact with protein Nitric oxide synthase, inducible?	1
Does drug Dipyrithione interact with protein Nitric oxide synthase, inducible?	1
Does drug NADH interact with protein 17-beta-hydroxysteroid dehydrogenase type 2?	1
Does drug Estradiol interact with protein 17-beta-hydroxysteroid dehydrogenase type 2?	1
Does drug Estradiol acetate interact with protein 17-beta-hydroxysteroid dehydrogenase type 2?	1
Does drug Estradiol benzoate interact with protein 17-beta-hydroxysteroid dehydrogenase type 2?	1
Does drug Estradiol cypionate interact with protein 17-beta-hydroxysteroid dehydrogenase type 2?	1
Does drug Estradiol dienanthate interact with protein 17-beta-hydroxysteroid dehydrogenase type 2?	1
Does drug Estradiol valerate interact with protein 17-beta-hydroxysteroid dehydrogenase type 2?	1
Does drug CP-526423 interact with protein Glycogen phosphorylase, liver form?	1
Does drug N-beta-D-glucopyranosylacetamide interact with protein Glycogen phosphorylase, liver form?	1
Does drug Beta-D-Glucose interact with protein Glycogen phosphorylase, liver form?	1
Does drug 5-Chloro-1h-Indole-2-Carboxylic Acid{[Cyclopentyl-(2-Hydroxy-Ethyl)-Carbamoyl]-Methyl}-Amide interact with protein Glycogen phosphorylase, liver form?	1
Does drug Alvocidib interact with protein Glycogen phosphorylase, liver form?	1
Does drug Cp403700, (S)-1-{2-[(5-Chloro-1h-Indole-2-Carbonyl)-Amino]-3-Phenyl-Propionyl}-Azetidine-3-Carboxylate interact with protein Glycogen phosphorylase, liver form?	1
Does drug Dexfosfoserine interact with protein Glycogen phosphorylase, liver form?	1
Does drug 5-chloro-N-{4-[(1R)-1,2-dihydroxyethyl]phenyl}-1H-indole-2-carboxamide interact with protein Glycogen phosphorylase, liver form?	1
Does drug 4-[3-(2-Chloro-4,5-difluoro-benzoyl)ureido]-3-trifluoromethoxybenzoic acid interact with protein Glycogen phosphorylase, liver form?	1
Does drug AVE-2865 interact with protein Glycogen phosphorylase, liver form?	1
Does drug N-(2-CHLORO-4-FLUOROBENZOYL)-N'-(5-HYDROXY-2-METHOXYPHENYL)UREA interact with protein Glycogen phosphorylase, liver form?	1
Does drug Uric acid interact with protein Glycogen phosphorylase, liver form?	1
Does drug NADH interact with protein Alcohol dehydrogenase class-3?	1
Does drug Lauric acid interact with protein Alcohol dehydrogenase class-3?	1
Does drug 12-Hydroxydodecanoic Acid interact with protein Alcohol dehydrogenase class-3?	1
Does drug S-Hydroxymethyl Glutathione interact with protein Alcohol dehydrogenase class-3?	1
Does drug Tetrahydrofolic acid interact with protein Aminomethyltransferase, mitochondrial?	1
Does drug NADH interact with protein Aminomethyltransferase, mitochondrial?	1
Does drug 5-methyltetrahydrofolic acid interact with protein Aminomethyltransferase, mitochondrial?	1
Does drug NADH interact with protein Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial?	1
Does drug Xanthinol interact with protein Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial?	1
Does drug Tramadol interact with protein Adenosine receptor A1?	1
Does drug Theobromine interact with protein Adenosine receptor A1?	1
Does drug Tecadenoson interact with protein Adenosine receptor A1?	1
Does drug Naxifylline interact with protein Adenosine receptor A1?	1
Does drug Cannabidiol interact with protein Adenosine receptor A1?	1
Does drug Istradefylline interact with protein Adenosine receptor A1?	1
Does drug Tonapofylline interact with protein Adenosine receptor A1?	1
Does drug Rolofylline interact with protein Adenosine receptor A1?	1
Does drug ATP interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Dasatinib interact with protein Tyrosine-protein kinase ABL1?	1
Does drug N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Nilotinib interact with protein Tyrosine-protein kinase ABL1?	1
Does drug 2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE interact with protein Tyrosine-protein kinase ABL1?	1
Does drug 1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Myristic acid interact with protein Tyrosine-protein kinase ABL1?	1
Does drug PD-166326 interact with protein Tyrosine-protein kinase ABL1?	1
Does drug 5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE interact with protein Tyrosine-protein kinase ABL1?	1
Does drug 2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Regorafenib interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Ponatinib interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Fostamatinib interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Brigatinib interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Radotinib interact with protein Tyrosine-protein kinase ABL1?	1
Does drug Icosapent interact with protein Prostaglandin G/H synthase 1?	1
Does drug Diethylcarbamazine interact with protein Prostaglandin G/H synthase 1?	1
Does drug Carprofen interact with protein Prostaglandin G/H synthase 1?	1
Does drug Bromfenac interact with protein Prostaglandin G/H synthase 1?	1
Does drug Balsalazide interact with protein Prostaglandin G/H synthase 1?	1
Does drug Salsalate interact with protein Prostaglandin G/H synthase 1?	1
Does drug Antrafenine interact with protein Prostaglandin G/H synthase 1?	1
Does drug Antipyrine interact with protein Prostaglandin G/H synthase 1?	1
Does drug O-acetyl-L-serine interact with protein Prostaglandin G/H synthase 1?	1
Does drug Hyperforin interact with protein Prostaglandin G/H synthase 1?	1
Does drug (+)-2-(4-biphenyl)propionic acid interact with protein Prostaglandin G/H synthase 1?	1
Does drug Protoporphyrin Ix Containing Co interact with protein Prostaglandin G/H synthase 1?	1
Does drug 2-Bromoacetyl Group interact with protein Prostaglandin G/H synthase 1?	1
Does drug Flufenamic acid interact with protein Prostaglandin G/H synthase 1?	1
Does drug Beta-D-Glucose interact with protein Prostaglandin G/H synthase 1?	1
Does drug Resveratrol interact with protein Prostaglandin G/H synthase 1?	1
Does drug (3-Chloro-4-Propoxy-Phenyl)-Acetic Acid interact with protein Prostaglandin G/H synthase 1?	1
Does drug Acetic Acid Salicyloyl-Amino-Ester interact with protein Prostaglandin G/H synthase 1?	1
Does drug P-(2'-Iodo-5'-Thenoyl)Hydrotropic Acid interact with protein Prostaglandin G/H synthase 1?	1
Does drug Flurbiprofen Methyl Ester interact with protein Prostaglandin G/H synthase 1?	1
Does drug Niflumic acid interact with protein Prostaglandin G/H synthase 1?	1
Does drug Arachidonic Acid interact with protein Prostaglandin G/H synthase 1?	1
Does drug Metamizole interact with protein Prostaglandin G/H synthase 1?	1
Does drug Aceclofenac interact with protein Prostaglandin G/H synthase 1?	1
Does drug Nepafenac interact with protein Prostaglandin G/H synthase 1?	1
Does drug 2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1R)-1-(hydroxymethyl)propyl]acetamide interact with protein Prostaglandin G/H synthase 1?	1
Does drug 1-(4-IODOBENZOYL)-5-METHOXY-2-METHYL INDOLE-3-ACETIC ACID interact with protein Prostaglandin G/H synthase 1?	1
Does drug 2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl]-n-[(1S)-1-(hydroxymethyl)propyl]acetamide interact with protein Prostaglandin G/H synthase 1?	1
Does drug Triflusal interact with protein Prostaglandin G/H synthase 1?	1
Does drug Cannabidiol interact with protein Prostaglandin G/H synthase 1?	1
Does drug Loxoprofen interact with protein Prostaglandin G/H synthase 1?	1
Does drug Dexibuprofen interact with protein Prostaglandin G/H synthase 1?	1
Does drug Dexketoprofen interact with protein Prostaglandin G/H synthase 1?	1
Does drug Droxicam interact with protein Prostaglandin G/H synthase 1?	1
Does drug Propacetamol interact with protein Prostaglandin G/H synthase 1?	1
Does drug Talniflumate interact with protein Prostaglandin G/H synthase 1?	1
Does drug Phenyl salicylate interact with protein Prostaglandin G/H synthase 1?	1
Does drug Menthyl salicylate interact with protein Prostaglandin G/H synthase 1?	1
Does drug Glycol salicylate interact with protein Prostaglandin G/H synthase 1?	1
Does drug Nitroaspirin interact with protein Prostaglandin G/H synthase 1?	1
Does drug Bufexamac interact with protein Prostaglandin G/H synthase 1?	1
Does drug Bendazac interact with protein Prostaglandin G/H synthase 1?	1
Does drug ATP interact with protein G protein-coupled receptor kinase 3?	1
Does drug Lymecycline interact with protein Small ribosomal subunit protein uS4?	1
Does drug Clomocycline interact with protein Small ribosomal subunit protein uS4?	1
Does drug Oxytetracycline interact with protein Small ribosomal subunit protein uS4?	1
Does drug Demeclocycline interact with protein Small ribosomal subunit protein uS4?	1
Does drug Minocycline interact with protein Small ribosomal subunit protein uS4?	1
Does drug Eravacycline interact with protein Small ribosomal subunit protein uS4?	1
Does drug Flucytosine interact with protein Thymidylate synthase?	1
Does drug Succinic acid interact with protein Solute carrier family 13 member 1?	1
Does drug Sorafenib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Sunitinib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Vatalanib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug TG-100801 interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Denibulin interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Pazopanib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Regorafenib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Lenvatinib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Nintedanib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Fostamatinib interact with protein Vascular endothelial growth factor receptor 3?	1
Does drug Triamterene interact with protein Epithelial sodium channel subunit beta?	1
Does drug Halofuginone interact with protein Collagen alpha-1?	1
Does drug Vindesine interact with protein Tubulin beta-1 chain?	1
Does drug Paclitaxel interact with protein Tubulin beta-1 chain?	1
Does drug Docetaxel interact with protein Tubulin beta-1 chain?	1
Does drug Epothilone D interact with protein Tubulin beta-1 chain?	1
Does drug Patupilone interact with protein Tubulin beta-1 chain?	1
Does drug Cabazitaxel interact with protein Tubulin beta-1 chain?	1
Does drug Eribulin interact with protein Tubulin beta-1 chain?	1
Does drug Milataxel interact with protein Tubulin beta-1 chain?	1
Does drug Phenethyl Isothiocyanate interact with protein Tubulin beta-1 chain?	1
Does drug NADH interact with protein NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial?	1
Does drug Ubidecarenone interact with protein NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial?	1
Does drug Sorafenib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Sunitinib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Vatalanib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug TG-100801 interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug OSI-930 interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Denibulin interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Pazopanib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug N-(4-chlorophenyl)-2-[(pyridin-4-ylmethyl)amino]benzamide interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Regorafenib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Lenvatinib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Nintedanib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Fostamatinib interact with protein Vascular endothelial growth factor receptor 1?	1
Does drug Cystine interact with protein Cystine/glutamate transporter?	1
Does drug Glutamic acid interact with protein Cystine/glutamate transporter?	1
Does drug Riluzole interact with protein Cystine/glutamate transporter?	1
Does drug Sulfasalazine interact with protein Cystine/glutamate transporter?	1
Does drug Acetylcysteine interact with protein Cystine/glutamate transporter?	1
Does drug NADH interact with protein 7-dehydrocholesterol reductase?	1
Does drug Vitamin A interact with protein Dehydrogenase/reductase SDR family member 4?	1
Does drug Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate interact with protein Insulin receptor?	1
Does drug [4-({5-(AMINOCARBONYL)-4-[(3-METHYLPHENYL)AMINO]PYRIMIDIN-2-YL}AMINO)PHENYL]ACETIC ACID interact with protein Insulin receptor?	1
Does drug Fostamatinib interact with protein Insulin receptor?	1
Does drug Brigatinib interact with protein Insulin receptor?	1
Does drug Ethambutol interact with protein Probable arabinosyltransferase A?	1
Does drug Cystine interact with protein Cystinosin?	1
Does drug Sorafenib interact with protein RAF proto-oncogene serine/threonine-protein kinase?	1
Does drug Regorafenib interact with protein RAF proto-oncogene serine/threonine-protein kinase?	1
Does drug Dabrafenib interact with protein RAF proto-oncogene serine/threonine-protein kinase?	1
Does drug Fostamatinib interact with protein RAF proto-oncogene serine/threonine-protein kinase?	1
Does drug NADH interact with protein NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial?	1
Does drug Pyridoxal interact with protein Pyridoxal kinase?	1
Does drug Pyridoxine interact with protein Pyridoxal kinase?	1
Does drug Adenosine-5'-[Beta, Gamma-Methylene]Triphosphate interact with protein Pyridoxal kinase?	1
Does drug O6-(R)-ROSCOVITINE, R-2-(6-BENZYLOXY-9-ISOPROPYL-9H-PURIN-2-YLAMINO)-BUTAN-1-OL interact with protein Pyridoxal kinase?	1
Does drug (2R)-2-({6-[benzyl(methyl)amino]-9-isopropyl-9H-purin-2-yl}amino)butan-1-ol interact with protein Pyridoxal kinase?	1
Does drug Sitaxentan interact with protein Endothelin receptor type B?	1
Does drug Ambrisentan interact with protein Endothelin receptor type B?	1
Does drug Enrasentan interact with protein Endothelin receptor type B?	1
Does drug Tezosentan interact with protein Endothelin receptor type B?	1
Does drug Macitentan interact with protein Endothelin receptor type B?	1
Does drug NADH interact with protein Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating?	1
Does drug Cevimeline interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Tramadol interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Succinylcholine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Ziprasidone interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Ipratropium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Trihexyphenidyl interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Oxyphencyclimine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Procyclidine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Promazine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Hyoscyamine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Imipramine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Tridihexethyl interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Nortriptyline interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Thiopental interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Nicardipine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Scopolamine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Benzquinamide interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Brompheniramine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Bethanechol interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Doxepin interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Quetiapine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Mivacurium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Pancuronium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Pipecuronium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Methotrimeprazine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Tiotropium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Isopropamide interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Acetylcholine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Arecoline interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Mepenzolate interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Pizotifen interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Fesoterodine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Methacholine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Hexocyclium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Aclidinium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Umeclidinium interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Trimebutine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Dosulepin interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Imidafenacin interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Butylscopolamine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Homatropine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Thonzylamine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Propiverine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Rociverine interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Diphemanil interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Aripiprazole lauroxil interact with protein Muscarinic acetylcholine receptor M3?	1
Does drug Pyruvic acid interact with protein Pyruvate kinase PKLR?	1
Does drug 2-Phosphoglycolic Acid interact with protein Pyruvate kinase PKLR?	1
Does drug beta-D-fructofuranose 1,6-bisphosphate interact with protein Pyruvate kinase PKLR?	1
Does drug Bumetanide interact with protein Solute carrier family 12 member 1?	1
Does drug Bivalirudin interact with protein Prothrombin?	1
Does drug Argatroban interact with protein Prothrombin?	1
Does drug Proflavine interact with protein Prothrombin?	1
Does drug 2-{2-hydroxy-[1,1'-biphenyl]-3-yl}-1H-1,3-benzodiazole-5-carboximidamide interact with protein Prothrombin?	1
Does drug Beta-(2-Naphthyl)-Alanine interact with protein Prothrombin?	1
Does drug Hemi-Babim interact with protein Prothrombin?	1
Does drug 2-(2-hydroxy-phenyl)-3H-benzoimidazole-5-carboxamidine interact with protein Prothrombin?	1
Does drug 4-Oxo-2-Phenylmethanesulfonyl-Octahydro-Pyrrolo[1,2-a]Pyrazine-6-Carboxylic Acid [1-(N-Hydroxycarbamimidoyl)-Piperidin-4-Ylmethyl]-Amide interact with protein Prothrombin?	1
